"Certification ID","Organisation Name","Date Authorised","Status","Reason for status change","Status effective from date","Measures offered"
"STRI14798","Urban Renewable Power","21/02/2017","Authorised","initial authorisation","21/02/2017","External wall insulation systems,Gas-fired condensing boilers,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Roof insulation,Room in roof insulation,Under-floor insulation"
"OCEI23916","M3 Energy Scotland Ltd.","21/02/2017","Authorised","initial authorisation","21/02/2017","Fan-assisted replacement storage heaters"
"OCEI23716","Green Team UK Ltd","20/02/2017","Authorised","initial authorisation","20/02/2017","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Hot water controls (including timers and temperature control),Oil-fired condensing boilers"
"OCEI23316","One Stop Facilities Limited","17/02/2017","Authorised","initial authorisation","17/02/2017","Fan-assisted replacement storage heaters"
"BBAI9241","M J Butler & Co. Ltd t/a Bridgewater Surveyors","10/02/2017","Authorised","re-authorised","16/02/2017","Cavity wall insulation"
"BBAI9214","Mersey Eco Grants Ltd","14/02/2017","Authorised","re-authorised","16/02/2017","Cavity wall insulation"
"NICI01401","Imminent Group Ltd","10/02/2017","Authorised","initial authorisation","10/02/2017","Cylinder thermostats,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Oil-fired condensing boilers,Heating controls (for wet central heating system and warm air sy"
"NAPI28857","R S Merriman Ltd","06/05/2017","Withdrawn","voluntary withdrawal","23/02/2017","Cylinder thermostats,Fan-assisted replacement storage heaters,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control),Oil-fired condensing boilers"
"NAPI28923","Norton Energy Services Ltd","08/08/2014","Authorised","re-authorised","10/02/2017","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Oil-fired condensing boilers"
"NAPI28831","Steve Duckworth Electrical Limited","08/03/2013","Authorised","initial authorisation","10/02/2017","Photovoltaics,Air source heat pumps,MCS Certificated?"
"NAPI28874","JD Energy Services Wales","28/03/2013","Suspended","other","22/02/2017","Biomass boilers,Solar water heating,MCS Certificated?"
"NAPI28665","Safegas Ltd","03/05/2013","Authorised","initial authorisation","10/02/2017","Biomass boilers,Ground source heat pumps,Photovoltaics,Solar water heating,Air source heat pumps,MCS Certificated?"
"NAPI28871","UCS Renewables","17/05/2013","Withdrawn","other","15/02/2017","Photovoltaics,MCS Certificated?"
"NAPI28768","Space Renewable Energy Ltd","31/05/2013","Authorised","initial authorisation","10/02/2017","Photovoltaics,Solar water heating,MCS Certificated?"
"NAPI28808","Warm Front Ltd","31/05/2013","Authorised","initial authorisation","10/02/2017","Flue gas heat recovery devices,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Solar water heating,Air source heat pumps,MCS Certificated?"
"NAPI28781","Black Isle Renewables Ltd","14/06/2013","Authorised","initial authorisation","10/02/2017","Biomass boilers,Ground source heat pumps,Photovoltaics,Solar water heating,Air source heat pumps,MCS Certificated?"
"NAPI28763","Blue Flame Energy Solutions Ltd","14/06/2013","Authorised","initial authorisation","10/02/2017","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Loft or rafter insulation (including loft hatch insulation),Photovoltaics,Pipe-work insulation,Solar water heating,Air source heat pumps,MCS Certificated?"
"NAPI28835","Exmoor Heating Ltd","21/06/2013","Authorised","initial authorisation","10/02/2017","Biomass boilers,Ground source heat pumps,Solar water heating,Air source heat pumps,MCS Certificated?"
"NAPI28890","S&A Heating Ltd","21/06/2013","Authorised","initial authorisation","10/02/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Oil-fired condensing boilers,Pipe-work insulation"
"NAPI28873","Reid Plumbing & Heating Contractors Ltd","12/07/2013","Authorised","initial authorisation","10/02/2017","Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Pipe-work insulation,Air source heat pumps,MCS Certificated?"
"NAPI28892","Boiler Care 247 Ltd","12/07/2013","Authorised","re-authorised","10/02/2017","Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Pipe-work insulation,Under-floor heating"
"NAPI28819","Lothian Gas","26/07/2013","Authorised","initial authorisation","10/02/2017","Solar water heating,Air source heat pumps,MCS Certificated?"
"NAPI28894","Yorkshire Gas And Electrical","23/08/2013","Authorised","re-authorised","10/02/2017","Fan-assisted replacement storage heaters,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control)"
"NAPI28803","Oakes Energy Services Ltd","27/09/2013","Withdrawn","other","10/03/2017","Biomass boilers,Gas-fired condensing boilers,Ground source heat pumps,Oil-fired condensing boilers,Photovoltaics,Solar water heating,Air source heat pumps,MCS Certificated?"
"NAPI28895","Green Eco Solar Solutions Ltd","04/10/2013","Authorised","initial authorisation","10/02/2017","Photovoltaics,MCS Certificated?"
"NAPI28903","Fletchers Building and Maintenance Ltd","24/03/2016","Authorised","initial authorisation","10/02/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Pipe-work insulation"
"NAPI28902","Macleod Construction Ltd","20/12/2013","Authorised","initial authorisation","10/02/2017","Air source heat pumps,MCS Certificated?"
"NAPI28917","G W Coates Limited","02/05/2014","Authorised","initial authorisation","10/02/2017","Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Pipe-work insulation"
"NAPI28782","Converteco Ltd. T/A Converteco Solar","27/06/2014","Withdrawn","voluntary withdrawal","23/02/2017","Photovoltaics,Solar water heating,MCS Certificated?"
"NAPI28837","Fires & Heating Ltd","25/07/2014","Authorised","initial authorisation","10/02/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control),Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Solar water heating,Warm-air units,MCS Certificated?"
"NAPI28921","Fusion Energy","29/08/2014","Authorised","initial authorisation","10/02/2017","Biomass boilers,MCS Certificated?"
"NAPI28822","Liberty","28/06/2013","Authorised","initial authorisation","10/02/2017","Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Photovoltaics,Pipe-work insulation,Solar water heating,Air source heat pumps,MCS Certificated?"
"NAPI28652","AOS Energy Efficient Heating Systems Limited","09/05/2014","Authorised","initial authorisation","10/02/2017","Biomass boilers,Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Photovoltaics,Pipe-work insulation,Solar water heating,Water source heat pumps,Air source heat pumps,MCS Certificated?"
"NAPI28905","Aberdeen Heating Ltd","06/12/2013","Withdrawn","non-renewal of membership","07/04/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Oil-fired condensing boilers,MCS Certificated?"
"NAPI28949","Green Energy Hero Ltd","01/05/2015","Suspended","non-compliance","23/02/2017","Biomass boilers,MCS Certificated?"
"NAPI28824","Renewable Solutions Team Ltd","31/05/2013","Authorised","re-authorised","10/02/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Pipe-work insulation,Under-floor heating"
"NAPI28913","Polybead Insulation uk TA Ecologic Energy","02/05/2014","Authorised","initial authorisation","10/02/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Pipe-work insulation"
"NAPI28960","ePlan Energy","25/08/2015","Authorised","initial authorisation","10/02/2017","Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control)"
"NAPI28970","National Energy Services Ltd","22/01/2016","Authorised","initial authorisation","10/02/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Pipe-work insulation"
"NAPI28978","Optima Energy Ltd","15/04/2016","Authorised","initial authorisation","10/02/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Pipe-work insulation"
"NAPI28951","Thermal Earth Ltd","11/11/2016","Authorised","initial authorisation","10/02/2017","Biomass boilers,Ground source heat pumps,Photovoltaics,Solar water heating,Air source heat pumps,MCS Certificated?"
"NAPI28990","Central Heating & Boilers Ltd T/A Boilertrust","23/12/2016","Authorised","initial authorisation","10/02/2017","Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control)"
"NAPI28878","McInnes Group Limited t/a McInnes Group","29/07/2016","Authorised","initial authorisation","10/02/2017","Biomass boilers,Biomass room heaters (including with radiators),Gas-fired condensing boilers,Ground source heat pumps,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Oil-fired condensing boilers,Solar water heating,Under-floor heating,Air source heat pumps,MCS Certificated?"
"OCEI23216","Ecogee Ltd","09/02/2017","Authorised","initial authorisation","09/02/2017","Fan-assisted replacement storage heaters,Oil-fired condensing boilers"
"OCEI23616","Green Environment Limited","03/02/2017","Authorised","initial authorisation","03/02/2017","Cavity wall insulation,Loft or rafter insulation (including loft hatch insulation)"
"NICI01400","Green-En Ltd","03/02/2017","Authorised","initial authorisation","03/02/2017","External wall insulation systems"
"BBAI9197","Extract North East","01/02/2017","Authorised","re-authorised","03/02/2017","Cavity wall insulation"
"STRI14538","Be Constructive Ltd","02/02/2017","Authorised","initial authorisation","02/02/2017",""
"STRI14612","NWPHS Ltd","02/02/2017","Authorised","initial authorisation","02/02/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system)"
"NAPI28552","Ingen Technical Services (Central) Ltd","31/01/2017","Authorised","initial authorisation","31/01/2017","External wall insulation systems"
"NICI01399","Home Insulation Services Ltd","27/01/2017","Authorised","initial authorisation","27/01/2017","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Loft or rafter insulation (including loft hatch insulation),Oil-fired condensing boilers,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"STRI14550","Energy Gain UK Limited","27/01/2017","Authorised","initial authorisation","27/01/2017","Heating controls (for wet central heating system and warm air system),Oil-fired condensing boilers"
"OCEI23416","Every Good Home t/a Good Home","24/01/2017","Authorised","initial authorisation","24/01/2017","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Hot water controls (including timers and temperature control),Oil-fired condensing boilers"
"OCEI22916","Comcat Ltd","23/01/2017","Authorised","initial authorisation","23/01/2017","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Hot water controls (including timers and temperature control),Loft or rafter insulation (including loft hatch insulation),Under-floor insulation"
"STRI14497","The Centre for Creative Enterprise t/a Cobalt Carbon Free","20/01/2017","Authorised","initial authorisation","20/01/2017","External wall insulation systems,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Roof insulation,Room in roof insulation,Under-floor insulation"
"OCEI21816","JBZ Energy Ltd","19/01/2017","Authorised","initial authorisation","19/01/2017","Fan-assisted replacement storage heaters,Oil-fired condensing boilers"
"NAPI28271","G.M.G (Contractors) Limited","13/01/2017","Authorised","initial authorisation","13/01/2017","External wall insulation systems"
"STRI14587","Insulation Direct","13/01/2017","Authorised","initial authorisation","13/01/2017","Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Room in roof insulation,Under-floor insulation"
"STRI14412","Proteck Coatings Ltd","11/01/2017","Authorised","initial authorisation","11/01/2017","External wall insulation systems"
"BENI00340","Mcinnes Group Ltd","29/07/2016","Authorised","initial authorisation","09/01/2017","Biomass boilers,Biomass room heaters (including with radiators),Ground source heat pumps,Solar water heating,Water source heat pumps,Air source heat pumps,MCS Certificated?"
"STRI14315","United Living Ltd (North) & United Living (South) Ltd","17/11/2016","Authorised","initial authorisation","04/01/2017","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water systems (efficient)"
"OCEI23016","Green Energy Installations","23/12/2016","Authorised","initial authorisation","23/12/2016","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Hot water controls (including timers and temperature control),Oil-fired condensing boilers"
"BENI00342","Central Heating & Boilers Ltd T/A Boilertrust","23/12/2016","Authorised","initial authorisation","23/12/2016","Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control)"
"OCEI23116","Elite Ecotec Ltd","22/12/2016","Authorised","initial authorisation","22/12/2016","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Hot water controls (including timers and temperature control),Oil-fired condensing boilers"
"NICI01398","Cambridge Sales and Marketing Ltd","22/12/2016","Authorised","initial authorisation","22/12/2016","Cylinder thermostats,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Oil-fired condensing boilers,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI01397","Easy Heat Systems Ltd","22/12/2016","Authorised","initial authorisation","22/12/2016","Cylinder thermostats,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Lighting systems, fittings and controls (including rooflights, lamps and luminaires),Heating controls (for wet central heating system and warm air sy,Lighting systems, fittings and controls (including rooflights, l"
"OCEI22816","Turner Facilities Management Ltd.","21/12/2016","Authorised","initial authorisation","21/12/2016","External wall insulation systems,Internal wall insulation (of external walls) systems"
"OCEI22716","Green Deal Eco Boilers and Insulation Ltd","20/12/2016","Authorised","initial authorisation","21/12/2016","Gas-fired condensing boilers,Hot water controls (including timers and temperature control)"
"OCEI 22716","Green Deal Eco Boilers and Insulation Ltd","20/12/2016","Authorised","initial authorisation","20/12/2016","Gas-fired condensing boilers,Hot water controls (including timers and temperature control)"
"BFCI0668","0800 Repair","20/12/2016","Authorised","initial authorisation","20/12/2016","Cylinder thermostats,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Roof insulation,Room in roof insulation"
"NAPI26496","Shropshire Green Energy Centre Limited","16/12/2016","Authorised","initial authorisation","16/12/2016","Cylinder thermostats,Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Heating ventilation and air-conditioning controls (including zoning controls),Hot water controls (including timers and temperature control)"
"NICI01396","Yorkshire Gas and Insulation Ltd","16/12/2016","Authorised","initial authorisation","16/12/2016","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Oil-fired condensing boilers,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI01395","Kevan Brown Ltd","13/12/2016","Authorised","initial authorisation","13/12/2016","High performance external doors,Internal wall insulation (of external walls) systems,Replacement glazing,Secondary glazing"
"BSI 656478","Actavo Network Solutions (UK) Limited","31/03/2017","Authorised","initial authorisation","08/12/2016","Cavity wall insulation,External wall insulation systems,Flue gas heat recovery devices,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water systems (efficient),Loft or rafter insulation (including loft hatch insulation),Photovoltaics"
"STRI14271","Short Bros Home Ltd","02/12/2016","Authorised","initial authorisation","02/12/2016","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Oil-fired condensing boilers"
"STRI14471","Direct Energy Efficiency Solution Ltd","02/12/2016","Authorised","initial authorisation","02/12/2016","Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Room in roof insulation,Under-floor insulation"
"NICI01394","Jaylec Electrical Contractors Ltd","02/12/2016","Authorised","initial authorisation","02/12/2016","Fan-assisted replacement storage heaters"
"BBAI9236","Skilled Force Limited","02/12/2016","Authorised","re-authorised","02/12/2016","Cavity wall insulation"
"NICI01393","The Renewable Group Ltd","25/11/2016","Withdrawn","non-compliance","31/03/2017","Cavity wall insulation,Loft or rafter insulation (including loft hatch insulation)"
"NICI01392","Riding Gas Services","25/11/2016","Authorised","initial authorisation","25/11/2016","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"OCEI22616","Climate Insulation Limited","23/11/2016","Authorised","initial authorisation","23/11/2016","Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Roof insulation"
"NICI01391","Prestige Energy Ltd","18/11/2016","Authorised","initial authorisation","18/11/2016","Cavity wall insulation,Cylinder thermostats,External wall insulation systems,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Internal wall insulation (of external walls) systems,Loft or rafter insulation (including loft hatch insulation),Pipe-work insulation,Roof insulation,Heating controls (for wet central heating system and warm air sy"
"OCEI22416","Select Boilers Ltd","11/11/2016","Authorised","initial authorisation","11/11/2016","Fan-assisted replacement storage heaters,Gas-fired condensing boilers,Hot water controls (including timers and temperature control),Internal wall insulation (of external walls) systems,Oil-fired condensing boilers,Room in roof insulation"
"BBAI4218","BlueBuild Energy Ltd","01/09/2012","Authorised","re-authorised","11/11/2016","Cavity wall insulation,External wall insulation systems"
"BENI00341","Thermal Earth Ltd","11/11/2016","Authorised","initial authorisation","11/11/2016","Biomass boilers,Ground source heat pumps,Photovoltaics,Solar water heating,Air source heat pumps,MCS Certificated?"
"NICI01389","Glenbuild Roofing Contracts Ltd","11/11/2016","Authorised","initial authorisation","11/11/2016","External wall insulation systems"
"NICI01388","Hamilton Developments (Wales) Ltd","11/11/2016","Authorised","initial authorisation","11/11/2016","Cylinder thermostats,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Hot water cylinder insulation,Oil-fired condensing boilers,Pipe-work insulation,Heating controls (for wet central heating system and warm air sy"
"NICI01390","Elite Energy (NW) Ltd","11/11/2016","Authorised","initial authorisation","11/11/2016","Cylinder thermostats,Gas-fired condensing boilers,Heating controls (for wet central heating system and warm air system),Hot water controls (including timers and temperature control),Oil-fired condensing boilers,Heating controls (for wet central heating system and warm air sy"
