Company	Company Type	Provider/Cert. ID	Website	Phone Number	more_info
PECT Consultancy Limited	Provider	GDPA306	www.pcl-ltd.co.uk	01733 866446	/index.php?option=com_content&view=article&id=136&provider_id=437
Westdale Services Ltd	Provider	GDPA276	www.westdaleservices.co.uk	01302 700700	/index.php?option=com_content&view=article&id=136&provider_id=443
Ecotec (UK) Limited	Provider	GDPA655	www.ecotec.org.uk	01204 557672	/index.php?option=com_content&view=article&id=136&provider_id=8694
Nationwide Energy Consultants Utilities Limited	Provider	GDPA147	www.nationwide-energy.co.uk	08450 660705	/index.php?option=com_content&view=article&id=136&provider_id=378
GCMI Ltd T/A Green Deal Factory	Provider	GDPA295	www.greendealfactory.com	01932 428 458	/index.php?option=com_content&view=article&id=136&provider_id=433
Green Energy Advisors Limited	Provider	GDPA391	www.greenenergyadvisor.co.uk	01612661055	/index.php?option=com_content&view=article&id=136&provider_id=496
Greenoke Energy Ltd	Provider	GDPA282	www.greenoke.co.uk/index.php	01722 439 838	/index.php?option=com_content&view=article&id=136&provider_id=431
SERS Energy Solutions Ltd	Provider	GDPA362	www.sersltd.co.uk	01443 821349	/index.php?option=com_content&view=article&id=136&provider_id=467
Wolseley UK Limited	Provider	GDPA165	www.wolseley.co.uk	01926 705000	/index.php?option=com_content&view=article&id=136&provider_id=388
Npower Northern Limited	Provider	GDPA146	www.npower.com/greendeal		/index.php?option=com_content&view=article&id=136&provider_id=377
SSE Green Deal Provider Limited	Provider	GDPA163	www.sse.co.uk	0800 2943258	/index.php?option=com_content&view=article&id=136&provider_id=386
Network Green Deal Limited	Provider	GDPA123	www.greendealnet.co.uk	01572 725530	/index.php?option=com_content&view=article&id=136&provider_id=366
Halltech Electrical Services Ltd	Provider	GDPA509	www.halltechenergy.com	01482 298333	/index.php?option=com_content&view=article&id=136&provider_id=499
Infinity Energy Organisation Limited	Provider	GDPA120	www.infinityenergyorganisation.com	02036 384030	/index.php?option=com_content&view=article&id=136&provider_id=363
Carbon Savings Ltd	Provider	GDPA660	www.carbonsavingslimited.com	0759 5840189	/index.php?option=com_content&view=article&id=136&provider_id=9556
Team 42 Ltd	Provider	GDPA450	www.team42.co.uk	0800 5003137	/index.php?option=com_content&view=article&id=136&provider_id=517
Golden Globe Merchants Limited	Provider	GDPA654	www.goldenglobeltd.com	08009995097 02070965097	/index.php?option=com_content&view=article&id=136&provider_id=8675
Warm Front Limited	Provider	GDPA604	www.warmfrontltd.com	0800 083 4333	/index.php?option=com_content&view=article&id=136&provider_id=8473
Gas-Elec Safety Systems Ltd t/a as Eco -Energi	Provider	GDPA531	www.eco-energi.com	01344876672	/index.php?option=com_content&view=article&id=136&provider_id=502
Anglian Windows Limited	Provider	GDPA250	www.anglian-building.co.uk/	01603 428461	/index.php?option=com_content&view=article&id=136&provider_id=447
Greenexo Ltd	Provider	GDPA284	www.greenexo.com	0208 579 8585	/index.php?option=com_content&view=article&id=136&provider_id=451
MW Heating and Plumbing Ltd	Provider	GDPA610	www.mw-heating.co.uk	01706 370626	/index.php?option=com_content&view=article&id=136&provider_id=7132
GHE Solar Limited	Provider	GDPA121	www.ghesolar.co.uk	01635 202612	/index.php?option=com_content&view=article&id=136&provider_id=364
Isothane Ltd	Provider	GDPA467	www.isothane.com	01254 872555	/index.php?option=com_content&view=article&id=136&provider_id=507
Green Deal Provider Network Ltd	Provider	GDPA255	www.gdpnetwork.net	0161 929 8666	/index.php?option=com_content&view=article&id=136&provider_id=414
New Eco Developments Ltd	Provider	GDPA605	www.newecodevelopments.com	0800 368 8789	/index.php?option=com_content&view=article&id=136&provider_id=7297
Xenon Professionals Ltd T/A I Love Green	Provider	GDPA431	www.ilovegreen.co.uk	0203 1292753	/index.php?option=com_content&view=article&id=136&provider_id=479
The Big Green Energy Company Limited	Provider	GDPA150	www.greendealpoints.com	0161 7243500	/index.php?option=com_content&view=article&id=136&provider_id=380
British Gas New Heating Limited	Provider	GDPA151	www.britishgas.co.uk/greendeal	0800 1072750	/index.php?option=com_content&view=article&id=136&provider_id=381
Local Energy Limited	Provider	GDPA124	www.localenergy.org.uk	01616 153762	/index.php?option=com_content&view=article&id=136&provider_id=367
Yorkshire Energy Services CIC T/A YES Energy Solutions	Provider	GDPA126	www.yesenergysolutions.co.uk	0800 952 0036	/index.php?option=com_content&view=article&id=136&provider_id=368
CRG Finance	Provider	GDPA369	www.crgfinance.co.uk	0800 888 6818	/index.php?option=com_content&view=article&id=136&provider_id=475
Solarwise Renewables Limited	Provider	GDPA253	www.solarwise-rl.co.uk	02920885887	/index.php?option=com_content&view=article&id=136&provider_id=413
GDProvider Ltd	Provider	GDPA480	www.gdprovider.net	01914 473828	/index.php?option=com_content&view=article&id=136&provider_id=490
Green Deal Express Limited	Provider	GDPA216	www.greendealexpress.com	01482 390400	/index.php?option=com_content&view=article&id=136&provider_id=402
ScottishPower Energy Retail Limited	Provider	GDPA215	www.scottishpower.com	0800 092 9290  0800 001 5400	/index.php?option=com_content&view=article&id=136&provider_id=455
OM2 Solutions Ltd	Provider	GDPA469	www.om2solutions.com	08000699040	/index.php?option=com_content&view=article&id=136&provider_id=493
Green Deal Consortia Ltd	Provider	GDPA631	www.greendealconsortia.co.uk	0843 506 5285	/index.php?option=com_content&view=article&id=136&provider_id=7456
Fusion Radiators Limited	Provider	GDPA477	www.myfusionheating.com	01709 774683	/index.php?option=com_content&view=article&id=136&provider_id=7001
AgilityEco Services Ltd T/A AgilityEco	Provider	GDPA355	www.agilityeco.co.uk	01372 738952	/index.php?option=com_content&view=article&id=136&provider_id=438
Foster Property Maintenance Ltd	Provider	GDPA223	www.fpm-ltd.co.uk	01603 957 855	/index.php?option=com_content&view=article&id=136&provider_id=405
Eco Solutions (UK) Ltd	Provider	GDPA649	www.kingsmeer.com	01213594990	/index.php?option=com_content&view=article&id=136&provider_id=8631
Home Energy Insulation Division T/A Home Energy UK	Provider	GDPA409	kpmg.com/uk	0141 300 5765	/index.php?option=com_content&view=article&id=136&provider_id=516
Osborne Energy Limited	Provider	GDPA166	www.osborneenergy.co.uk	01424 436793	/index.php?option=com_content&view=article&id=136&provider_id=389
SEHBAC Limited	Provider	GDPA357	www.sehbac.com	01473467196	/index.php?option=com_content&view=article&id=136&provider_id=463
Heatwave Energy Funding Limited	Provider	GDPA504	www.heatwave-service.com	01942497977	/index.php?option=com_content&view=article&id=136&provider_id=6998
Toriga Energy Limited	Provider	GDPA135	www.toriga-energy.com	08456 806556	/index.php?option=com_content&view=article&id=136&provider_id=372
Grafton Merchanting GB Limited	Provider	GDPA117	www.graftongmgb.co.uk	01159385210	/index.php?option=com_content&view=article&id=136&provider_id=361
Green Deal Provider Funding Ltd	Provider	GDPA647	www.greendealproviderfunding.co.uk	0788 686 9659	/index.php?option=com_content&view=article&id=136&provider_id=8630
1North Ltd	Provider	GDPA297	www.1north.co.uk	08000430365 01412120045	/index.php?option=com_content&view=article&id=136&provider_id=435
Warmer Home Finance Ltd	Provider	GDPA501	TBC	TBC	/index.php?option=com_content&view=article&id=136&provider_id=491
Solarcrown UK Limited T/A Solarking UK	Provider	GDPA133	www.solarkinguk.com	01138 877416	/index.php?option=com_content&view=article&id=136&provider_id=371
Happy Energy Ltd	Provider	GDPA320	www.happyenergy.co.uk	08000 246234	/index.php?option=com_content&view=article&id=136&provider_id=421
Ethika UK Ltd	Provider	GDPA417	www.ethika.org.uk	01179 758634	/index.php?option=com_content&view=article&id=136&provider_id=461
Green Leaf Homes Ltd	Provider	GDPA636	www.greenleafhomesltd.co.uk	0800 907 8284	/index.php?option=com_content&view=article&id=136&provider_id=7299
EvoEnergy Ltd	Provider	GDPA345	www.evoenergy.co.uk	0844 8150200	/index.php?option=com_content&view=article&id=136&provider_id=442
Ace Plumbing Ltd	Provider	GDPA230	www.ace-energy.net	01747 858852	/index.php?option=com_content&view=article&id=136&provider_id=482
Broad Oak Properties Ltd	Provider	GDPA394	TBC	07825 773727	/index.php?option=com_content&view=article&id=136&provider_id=466
UK Energy Partners Ltd	Provider	GDPA334	www.ukenergypartners.co.uk	0844 318 3000	/index.php?option=com_content&view=article&id=136&provider_id=446
Sustainable Simple Energy Ltd	Provider	GDPA493	www.sakhara.co.uk	01274 420066	/index.php?option=com_content&view=article&id=136&provider_id=7295
Carillion Energy Services Limited	Provider	GDPA194	www.carillionenergy.com	0800 9175772 / 0121 2228051	/index.php?option=com_content&view=article&id=136&provider_id=398
Silverstone Green Energy Limited	Provider	GDPA148	www.silverstonegreenenergy.co.uk	01834 888 330	/index.php?option=com_content&view=article&id=136&provider_id=379
AAA Green Solutions Ltd	Provider	GDPA452	www.aaagreensolutions.co.uk	02392 833711	/index.php?option=com_content&view=article&id=136&provider_id=500
G2V Solar Energy Solutions Limited	Provider	GDPA218	www.G2Vsolarenergysolutions.com	01514 232343	/index.php?option=com_content&view=article&id=136&provider_id=403
NWS	Provider	GDPA259	www.nws.co.uk	01226 747300	/index.php?option=com_content&view=article&id=136&provider_id=434
Consumer Financial Ltd	Provider	GDPA580	www.consumerfinancial.co.uk	0151 515 8194	/index.php?option=com_content&view=article&id=136&provider_id=7177
Origin UK Energy Services Ltd T/A Origin Energy Services	Provider	GDPA652	www.originenergyservices.co.uk	01332 293049	/index.php?option=com_content&view=article&id=136&provider_id=8658
Dyson Energy Services Ltd	Provider	GDPA326	www.dysonenergyservices.co.uk	0800 833 018	/index.php?option=com_content&view=article&id=136&provider_id=449
Everwarm Ltd	Provider	GDPA548	www.everwarmgroup.com	0800 1977755	/index.php?option=com_content&view=article&id=136&provider_id=6999
Infinite Energy UK Ltd	Provider	GDPA342	www.infiniteenergyuk.co.uk	0800 193 1214	/index.php?option=com_content&view=article&id=136&provider_id=424
Tempo Insulation Services Ltd	Provider	GDPA549	www.tempoinsulation.co.uk	0800 152 2011	/index.php?option=com_content&view=article&id=136&provider_id=6947
Energize Investments Ltd	Provider	GDPA426	www.energizeinvestments.co.uk	01332 856355	/index.php?option=com_content&view=article&id=136&provider_id=6945
Keepmoat Limited	Provider	GDPA155	www.keepmoat.com	01302 346620	/index.php?option=com_content&view=article&id=136&provider_id=384
Green Eco Grants Ltd	Provider	GDPA498	www.greenecogrants.org	0800 078 7115	/index.php?option=com_content&view=article&id=136&provider_id=6997
Kernow Loans Ltd T/A Green Deal Cornwall	Provider	GDPA236	greendeal-cornwall.co.uk	0800 0463267	/index.php?option=com_content&view=article&id=136&provider_id=444
Astute Motoring Limited T/A Astute Funding	Provider	GDPA625	www.astutefunding.com		/index.php?option=com_content&view=article&id=136&provider_id=7300
Bartons of Duke Street Ltd	Provider	GDPA425	www.bartons-heating.co.uk	01744 22331	/index.php?option=com_content&view=article&id=136&provider_id=470
Sustain Energy (UK) Ltd	Provider	GDPA641	www.sustainenergy.org.uk	08006122049	/index.php?option=com_content&view=article&id=136&provider_id=8474
Centre for Sustainable Energy	Provider	GDPA296	www.cse.org.uk	0117 9341 417	/index.php?option=com_content&view=article&id=136&provider_id=430
Climate Energy Limited	Provider	GDPA142	www.climateenergy.org.uk	0800 0352327	/index.php?option=com_content&view=article&id=136&provider_id=375
InstaGroup Limited	Provider	GDPA119	www.instagroup.co.uk/greendeal	0800 093 1306	/index.php?option=com_content&view=article&id=136&provider_id=362
Aran Services Ltd	Provider	GDPA112	www.aranservices.co.uk	01284 812520	/index.php?option=com_content&view=article&id=136&provider_id=358
ReEnergise Finance Ltd	Provider	GDPA140	www.reenergisefinance.com	01428 602 130	/index.php?option=com_content&view=article&id=136&provider_id=473
Housing Action Management Limited	Provider	GDPA270	www.housingactionmanagement.co.uk	0203 0110 499	/index.php?option=com_content&view=article&id=136&provider_id=428
Lux Carbon Services Ltd	Provider	GDPA653	www.luxcarbonservices.co.uk	07854 595 048	/index.php?option=com_content&view=article&id=136&provider_id=8657
Greenvision Energy Limited	Provider	GDPA289	www.greenvisionenergy.co.uk	0115 854 7498	/index.php?option=com_content&view=article&id=136&provider_id=425
Active Energy Funding Ltd	Provider	GDPA562	www.activeenergyfunding.co.uk	01284 812532	/index.php?option=com_content&view=article&id=136&provider_id=513
Les Forshaw (Northern) Ltd	Provider	GDPA347	www.theforshawgroup.com	08448 806767 Option 2	/index.php?option=com_content&view=article&id=136&provider_id=486
Green Deal First Ltd	Provider	GDPA620	www.greendealfirst.net		/index.php?option=com_content&view=article&id=136&provider_id=7003
Opus Green Limited	Provider	GDPA272	www.opus-green.co.uk	01912 705124	/index.php?option=com_content&view=article&id=136&provider_id=415
Help-Link UK Limited	Provider	GDPA541	www.help-link.co.uk	01977877566	/index.php?option=com_content&view=article&id=136&provider_id=515
Black Box Energy Limited T/A Black Box Energy Limited	Provider	GDPA403	www.blackboxenergy.co.uk	0800 6129652	/index.php?option=com_content&view=article&id=136&provider_id=477
1st Green Deal Ltd	Provider	GDPA279	www.1stgreendeal.com	02921 322323	/index.php?option=com_content&view=article&id=136&provider_id=454
Gdeco Limited	Provider	GDPA428	www.gdeco.co.uk	01226 885002	/index.php?option=com_content&view=article&id=136&provider_id=480
Go-Green Energy (Group) Ltd	Provider	GDPA200	www.go-greenenergy.co.uk	0800 043 0191	/index.php?option=com_content&view=article&id=136&provider_id=452
GB Energy (Renewables) Ltd	Provider	GDPA419	www.gb-energy.com	01772 865740	/index.php?option=com_content&view=article&id=136&provider_id=488
British Gas Trading Limited	Provider	GDPA157	www.britishgas.co.uk/greendeal	0800 1072750	/index.php?option=com_content&view=article&id=136&provider_id=385
City Energy South Wales Ltd	Provider	GDPA221	www.cityenergy.org.uk	02920 499183	/index.php?option=com_content&view=article&id=136&provider_id=404
Synerg Energy Solutions	Provider	GDPA659		07967610873	/index.php?option=com_content&view=article&id=136&provider_id=9555
Green Deal Initiative Ltd	Provider	GDPA579	www.greendealinitiative.org	0114 247 3085	/index.php?option=com_content&view=article&id=136&provider_id=7457
